,中证500
2012-09-05,3158.01
2012-09-06,3187.11
2012-09-07,3240.65
2012-09-10,3343.81
2012-09-11,3352.62
2012-09-12,3360.26
2012-09-13,3374.79
2012-09-14,3356.24
2012-09-17,3334.71
2012-09-18,3222.98
2012-09-19,3227.36
2012-09-20,3253.53
2012-09-21,3153.61
2012-09-24,3129.54
2012-09-25,3159.13
2012-09-26,3138.8
2012-09-27,3065.58
2012-09-28,3129.77
2012-10-08,3198.88
2012-10-09,3185.21
2012-10-10,3257.45
2012-10-11,3288.05
2012-10-12,3256.97
2012-10-15,3237.29
2012-10-16,3219.42
2012-10-17,3237.64
2012-10-18,3241.27
2012-10-19,3292.95
2012-10-22,3269.04
2012-10-23,3298.45
2012-10-24,3242.87
2012-10-25,3257.72
2012-10-26,3221.07
2012-10-29,3158.11
2012-10-30,3156.74
2012-10-31,3159.22
2012-11-01,3169.8
2012-11-02,3229.96
2012-11-05,3244.3
2012-11-06,3233.42
2012-11-07,3210.85
2012-11-08,3183.08
2012-11-09,3123.09
2012-11-12,3118.11
2012-11-13,3136.95
2012-11-14,3069.38
2012-11-15,3066.89
2012-11-16,3021.29
2012-11-19,3007.68
2012-11-20,3023.08
2012-11-21,3000.94
2012-11-22,3021.3
2012-11-23,2993.17
2012-11-26,3004.17
2012-11-27,2960.61
2012-11-28,2854.08
2012-11-29,2799.96
2012-11-30,2773.23
2012-12-03,2816.3
2012-12-04,2739.5
2012-12-05,2775.41
2012-12-06,2884.81
2012-12-07,2883.16
2012-12-10,2951.0
2012-12-11,2993.38
2012-12-12,2978.72
2012-12-13,2976.58
2012-12-14,2939.31
2012-12-17,3073.92
2012-12-18,3087.32
2012-12-19,3082.38
2012-12-20,3092.92
2012-12-21,3110.82
2012-12-24,3093.97
2012-12-25,3110.97
2012-12-26,3187.2
2012-12-27,3232.79
2012-12-28,3195.2
2012-12-31,3242.96
2013-01-04,3297.04
2013-01-07,3253.67
2013-01-08,3288.13
2013-01-09,3321.76
2013-01-10,3335.09
2013-01-11,3357.47
2013-01-14,3264.15
2013-01-15,3390.33
2013-01-16,3448.28
2013-01-17,3444.47
2013-01-18,3416.45
2013-01-21,3475.2
2013-01-22,3487.57
2013-01-23,3422.77
2013-01-24,3442.62
2013-01-25,3363.43
2013-01-28,3362.47
2013-01-29,3451.66
2013-01-30,3482.57
2013-01-31,3497.28
2013-02-01,3471.27
2013-02-04,3517.46
2013-02-05,3466.59
2013-02-06,3521.66
2013-02-07,3539.48
2013-02-08,3554.15
2013-02-18,3625.03
2013-02-19,3624.94
2013-02-20,3555.59
2013-02-21,3612.72
2013-02-22,3552.67
2013-02-25,3551.6
2013-02-26,3573.95
2013-02-27,3538.94
2013-02-28,3544.06
2013-03-01,3608.62
2013-03-04,3614.56
2013-03-05,3516.53
2013-03-06,3605.36
2013-03-07,3648.28
2013-03-08,3608.9
2013-03-11,3568.62
2013-03-12,3570.47
2013-03-13,3473.27
2013-03-14,3443.78
2013-03-15,3466.89
2013-03-18,3461.87
2013-03-19,3421.74
2013-03-20,3436.85
2013-03-21,3527.76
2013-03-22,3561.12
2013-03-25,3581.31
2013-03-26,3556.3
2013-03-27,3541.38
2013-03-28,3526.54
2013-03-29,3449.28
2013-04-01,3449.54
2013-04-02,3471.69
2013-04-03,3429.89
2013-04-08,3354.44
2013-04-09,3411.4
2013-04-10,3444.46
2013-04-11,3442.93
2013-04-12,3418.3
2013-04-15,3382.0
2013-04-16,3313.51
2013-04-17,3381.61
2013-04-18,3396.01
2013-04-19,3423.44
2013-04-22,3478.04
2013-04-23,3509.2
2013-04-24,3417.4
2013-04-25,3473.01
2013-04-26,3427.15
2013-05-02,3354.47
2013-05-03,3391.22
2013-05-06,3456.28
2013-05-07,3511.21
2013-05-08,3524.79
2013-05-09,3551.9
2013-05-10,3550.03
2013-05-13,3577.29
2013-05-14,3586.32
2013-05-15,3549.74
2013-05-16,3594.3
2013-05-17,3632.61
2013-05-20,3700.09
2013-05-21,3733.67
2013-05-22,3782.97
2013-05-23,3740.44
2013-05-24,3723.62
2013-05-27,3784.47
2013-05-28,3820.24
2013-05-29,3830.22
2013-05-30,3843.16
2013-05-31,3867.59
2013-06-03,3836.77
2013-06-04,3809.56
2013-06-05,3733.95
2013-06-06,3742.5
2013-06-07,3690.96
2013-06-13,3573.9
2013-06-14,3519.37
2013-06-17,3593.51
2013-06-18,3594.9
2013-06-19,3588.77
2013-06-20,3562.13
2013-06-21,3401.47
2013-06-24,3439.87
2013-06-25,3202.66
2013-06-26,3222.68
2013-06-27,3293.08
2013-06-28,3212.25
2013-07-01,3226.62
2013-07-02,3304.99
2013-07-03,3346.11
2013-07-04,3342.01
2013-07-05,3392.58
2013-07-08,3322.14
2013-07-09,3231.7
2013-07-10,3259.85
2013-07-11,3364.84
2013-07-12,3453.44
2013-07-15,3432.26
2013-07-16,3496.73
2013-07-17,3529.71
2013-07-18,3476.18
2013-07-19,3479.53
2013-07-22,3374.57
2013-07-23,3470.6
2013-07-24,3536.16
2013-07-25,3561.51
2013-07-26,3486.96
2013-07-29,3477.26
2013-07-30,3426.96
2013-07-31,3428.13
2013-08-01,3435.08
2013-08-02,3535.89
2013-08-05,3531.65
2013-08-06,3589.52
2013-08-07,3628.0
2013-08-08,3589.16
2013-08-09,3611.78
2013-08-12,3629.51
2013-08-13,3677.12
2013-08-14,3694.68
2013-08-15,3674.65
2013-08-16,3611.28
2013-08-19,3528.91
2013-08-20,3606.61
2013-08-21,3596.93
2013-08-22,3621.89
2013-08-23,3644.68
2013-08-26,3629.36
2013-08-27,3702.58
2013-08-28,3707.53
2013-08-29,3703.05
2013-08-30,3702.85
2013-09-02,3674.68
2013-09-03,3685.34
2013-09-04,3747.23
2013-09-05,3749.94
2013-09-06,3758.9
2013-09-09,3799.45
2013-09-10,3836.47
2013-09-11,3876.59
2013-09-12,3824.75
2013-09-13,3846.45
2013-09-16,3852.36
2013-09-17,3851.66
2013-09-18,3780.7
2013-09-23,3830.95
2013-09-24,3897.41
2013-09-25,3899.61
2013-09-26,3879.48
2013-09-27,3805.5
2013-09-30,3834.17
2013-10-08,3875.52
2013-10-09,3928.4
2013-10-10,3990.78
2013-10-11,3975.11
2013-10-14,4034.19
2013-10-15,4074.83
2013-10-16,4063.82
2013-10-17,3980.47
2013-10-18,3954.59
2013-10-21,3977.26
2013-10-22,4070.66
2013-10-23,4026.56
2013-10-24,3914.24
2013-10-25,3902.23
2013-10-28,3820.67
2013-10-29,3801.93
2013-10-30,3694.31
2013-10-31,3757.81
2013-11-01,3698.47
2013-11-04,3705.45
2013-11-05,3719.94
2013-11-06,3768.73
2013-11-07,3722.24
2013-11-08,3670.35
2013-11-11,3626.19
2013-11-12,3645.37
2013-11-13,3677.35
2013-11-14,3602.85
2013-11-15,3661.28
2013-11-18,3759.12
2013-11-19,3830.45
2013-11-20,3842.25
2013-11-21,3865.57
2013-11-22,3868.5
2013-11-25,3834.81
2013-11-26,3837.87
2013-11-27,3843.65
2013-11-28,3897.25
2013-11-29,3924.42
2013-12-02,3870.03
2013-12-03,3755.19
2013-12-04,3856.35
2013-12-05,3931.14
2013-12-06,3924.64
2013-12-09,3928.16
2013-12-10,3948.57
2013-12-11,3941.9
2013-12-12,3903.45
2013-12-13,3901.99
2013-12-16,3929.38
2013-12-17,3854.78
2013-12-18,3836.02
2013-12-19,3840.28
2013-12-20,3792.68
2013-12-23,3745.94
2013-12-24,3746.65
2013-12-25,3766.2
2013-12-26,3809.5
2013-12-27,3737.65
2013-12-30,3815.68
2013-12-31,3805.7
2014-01-02,3823.32
2014-01-03,3841.22
2014-01-06,3806.58
2014-01-07,3699.9
2014-01-08,3735.5
2014-01-09,3732.86
2014-01-10,3685.02
2014-01-13,3628.53
2014-01-14,3610.64
2014-01-15,3681.04
2014-01-16,3709.38
2014-01-17,3704.36
2014-01-20,3666.3
2014-01-21,3645.34
2014-01-22,3707.08
2014-01-23,3801.75
2014-01-24,3817.08
2014-01-27,3867.57
2014-01-28,3882.01
2014-01-29,3878.31
2014-01-30,3900.01
2014-02-07,3864.89
2014-02-10,3972.86
2014-02-11,4081.54
2014-02-12,4083.82
2014-02-13,4123.22
2014-02-14,4063.79
2014-02-17,4152.04
2014-02-18,4216.61
2014-02-19,4206.02
2014-02-20,4211.7
2014-02-21,4142.3
2014-02-24,4102.56
2014-02-25,4109.49
2014-02-26,3941.12
2014-02-27,3992.72
2014-02-28,3926.77
2014-03-03,3975.54
2014-03-04,4045.2
2014-03-05,4064.96
2014-03-06,4030.65
2014-03-07,4032.14
2014-03-10,3981.51
2014-03-11,3848.17
2014-03-12,3857.58
2014-03-13,3865.92
2014-03-14,3891.2
2014-03-17,3889.9
2014-03-18,3970.66
2014-03-19,3979.25
2014-03-20,3973.15
2014-03-21,3857.82
2014-03-24,3954.05
2014-03-25,3977.88
2014-03-26,3997.17
