,创业板
2013-11-20,1299.68
2013-11-21,1295.93
2013-11-22,1298.47
2013-11-25,1290.84
2013-11-26,1291.62
2013-11-27,1290.19
2013-11-28,1333.05
2013-11-29,1335.63
2013-12-02,1296.7
2013-12-03,1223.38
2013-12-04,1249.59
2013-12-05,1234.5
2013-12-06,1196.32
2013-12-09,1211.39
2013-12-10,1244.57
2013-12-11,1230.78
2013-12-12,1242.15
2013-12-13,1274.17
2013-12-16,1279.06
2013-12-17,1278.53
2013-12-18,1267.77
2013-12-19,1253.43
2013-12-20,1255.82
2013-12-23,1251.41
2013-12-24,1242.0
2013-12-25,1262.0
2013-12-26,1290.87
2013-12-27,1265.08
2013-12-30,1294.42
2013-12-31,1302.67
2014-01-02,1302.3
2014-01-03,1332.35
2014-01-06,1350.31
2014-01-07,1315.44
2014-01-08,1363.31
2014-01-09,1401.8
2014-01-10,1373.52
2014-01-13,1352.01
2014-01-14,1364.8
2014-01-15,1399.67
2014-01-16,1415.57
2014-01-17,1395.03
2014-01-20,1393.88
2014-01-21,1370.69
2014-01-22,1407.46
2014-01-23,1433.7
2014-01-24,1458.21
2014-01-27,1477.46
2014-01-28,1476.59
2014-01-29,1472.54
2014-01-30,1494.12
2014-02-07,1489.05
2014-02-10,1536.99
2014-02-11,1550.62
2014-02-12,1527.1
2014-02-13,1537.26
2014-02-14,1484.56
2014-02-17,1521.17
2014-02-18,1558.74
2014-02-19,1544.64
2014-02-20,1545.26
2014-02-21,1512.17
2014-02-24,1517.97
2014-02-25,1543.97
2014-02-26,1452.06
2014-02-27,1467.27
2014-02-28,1410.4
2014-03-03,1433.9
2014-03-04,1462.26
2014-03-05,1467.06
2014-03-06,1461.12
2014-03-07,1463.93
2014-03-10,1446.06
2014-03-11,1399.9
2014-03-12,1390.86
2014-03-13,1401.55
2014-03-14,1433.46
2014-03-17,1436.11
2014-03-18,1479.38
2014-03-19,1481.49
2014-03-20,1463.07
2014-03-21,1405.9
2014-03-24,1411.78
2014-03-25,1392.14
2014-03-26,1396.91
2014-03-27,1415.55
2014-03-28,1363.87
2014-03-31,1327.23
2014-04-01,1327.18
2014-04-02,1356.68
2014-04-03,1326.81
2014-04-04,1323.41
2014-04-08,1335.39
2014-04-09,1355.37
2014-04-10,1374.61
2014-04-11,1370.4
2014-04-14,1367.75
2014-04-15,1375.69
2014-04-16,1365.83
2014-04-17,1360.75
2014-04-18,1365.36
2014-04-21,1367.93
2014-04-22,1361.58
2014-04-23,1332.93
2014-04-24,1325.86
2014-04-25,1316.37
2014-04-28,1283.64
2014-04-29,1253.24
2014-04-30,1266.34
2014-05-05,1281.16
2014-05-06,1301.59
2014-05-07,1313.38
2014-05-08,1284.44
2014-05-09,1279.68
2014-05-12,1263.92
2014-05-13,1274.57
2014-05-14,1273.21
2014-05-15,1276.64
2014-05-16,1250.38
2014-05-19,1224.65
2014-05-20,1239.65
2014-05-21,1241.02
2014-05-22,1259.87
2014-05-23,1269.18
2014-05-26,1301.87
2014-05-27,1319.66
2014-05-28,1306.29
2014-05-29,1338.3
2014-05-30,1312.3
2014-06-03,1317.99
2014-06-04,1318.33
2014-06-05,1320.14
2014-06-06,1354.91
2014-06-09,1348.77
2014-06-10,1327.11
2014-06-11,1350.38
2014-06-12,1364.41
2014-06-13,1361.09
2014-06-16,1384.16
2014-06-17,1396.38
2014-06-18,1377.58
2014-06-19,1363.45
2014-06-20,1319.11
2014-06-23,1335.18
2014-06-24,1360.08
2014-06-25,1368.66
2014-06-26,1360.2
2014-06-27,1388.38
2014-06-30,1388.47
2014-07-01,1405.44
2014-07-02,1413.17
2014-07-03,1419.81
2014-07-04,1421.68
2014-07-07,1411.99
2014-07-08,1392.35
2014-07-09,1410.39
2014-07-10,1384.45
2014-07-11,1361.57
2014-07-14,1358.17
2014-07-15,1364.08
2014-07-16,1338.92
2014-07-17,1315.09
2014-07-18,1309.96
2014-07-21,1304.72
2014-07-22,1306.32
2014-07-23,1330.14
2014-07-24,1291.49
2014-07-25,1271.43
2014-07-28,1289.1
2014-07-29,1315.75
2014-07-30,1330.19
2014-07-31,1342.73
2014-08-01,1339.98
2014-08-04,1325.01
2014-08-05,1330.32
2014-08-06,1357.53
2014-08-07,1365.18
2014-08-08,1368.06
2014-08-11,1379.47
2014-08-12,1398.15
2014-08-13,1396.26
2014-08-14,1384.72
2014-08-15,1382.87
2014-08-18,1394.64
2014-08-19,1436.42
2014-08-20,1438.29
2014-08-21,1428.63
2014-08-22,1450.1
2014-08-25,1461.21
2014-08-26,1440.7
2014-08-27,1411.76
2014-08-28,1423.34
2014-08-29,1400.84
2014-09-01,1428.37
2014-09-02,1457.51
2014-09-03,1468.09
2014-09-04,1478.33
