,创业板
2013-04-24,8772878.0
2013-04-25,10505929.0
2013-04-26,7160700.0
2013-05-02,5383285.0
2013-05-03,7910952.0
2013-05-06,10341541.0
2013-05-07,9122569.0
2013-05-08,10723616.0
2013-05-09,13408967.0
2013-05-10,12371031.0
2013-05-13,10894688.0
2013-05-14,10262555.0
2013-05-15,11464506.0
2013-05-16,16214896.0
2013-05-17,13263336.0
2013-05-20,16894820.0
2013-05-21,17795688.0
2013-05-22,17050076.0
2013-05-23,14146082.0
2013-05-24,15023081.0
2013-05-27,16132261.0
2013-05-28,15413444.0
2013-05-29,11569456.0
2013-05-30,12702507.0
2013-05-31,14032823.0
2013-06-03,12668299.0
2013-06-04,12745387.0
2013-06-05,9397943.0
2013-06-06,9843383.0
2013-06-07,10557897.0
2013-06-13,9936155.0
2013-06-14,11803686.0
2013-06-17,13475017.0
2013-06-18,11576012.0
2013-06-19,10743146.0
2013-06-20,11540617.0
2013-06-21,11389660.0
2013-06-24,12623825.0
2013-06-25,15317767.0
2013-06-26,16903148.0
2013-06-27,17666648.0
2013-06-28,12387924.0
2013-07-01,12474594.0
2013-07-02,15790757.0
2013-07-03,16168071.0
2013-07-04,14852731.0
2013-07-05,13408042.0
2013-07-08,12582243.0
2013-07-09,10557293.0
2013-07-10,12160100.0
2013-07-11,13950763.0
2013-07-12,15481149.0
2013-07-15,17356196.0
2013-07-16,17169448.0
2013-07-17,17598208.0
2013-07-18,16214187.0
2013-07-19,18433528.0
2013-07-22,15878729.0
2013-07-23,19928652.0
2013-07-24,20958972.0
2013-07-25,20110376.0
2013-07-26,14411688.0
2013-07-29,13991334.0
2013-07-30,13415517.0
2013-07-31,11352306.0
2013-08-01,16891922.0
2013-08-02,19517892.0
2013-08-05,16244668.0
2013-08-06,16970664.0
2013-08-07,16533909.0
2013-08-08,12980114.0
2013-08-09,14222932.0
2013-08-12,14338272.0
2013-08-13,13353812.0
2013-08-14,16202466.0
2013-08-15,15192214.0
2013-08-16,15946678.0
2013-08-19,13073910.0
2013-08-20,15348980.0
2013-08-21,14205580.0
2013-08-22,15582737.0
2013-08-23,18475568.0
2013-08-26,15475788.0
2013-08-27,15101603.0
2013-08-28,16908632.0
2013-08-29,12459208.0
2013-08-30,15474750.0
2013-09-02,9910558.0
2013-09-03,10850674.0
2013-09-04,11878652.0
2013-09-05,13692141.0
2013-09-06,14537532.0
2013-09-09,15545329.0
2013-09-10,14939381.0
2013-09-11,16208156.0
2013-09-12,10582306.0
2013-09-13,11193164.0
